,Feature name,Coefficients,p_values
0,Intercept,2.709792107676812,
1,grade:A,-1.3674640476210485,1.7137018043790527e-78
2,grade:B,-1.0899207768908432,5.180065405626571e-74
3,grade:C,-0.8237048962121594,1.677194635518712e-56
4,grade:D,-0.5685045317438584,5.566166172584781e-35
5,grade:E,-0.3054255632059575,5.713620235502413e-13
6,grade:F,-0.10758044271974368,0.01137190879586461
7,home_ownership:MORTGAGE,-0.06842595811187319,3.5846727977606007e-10
8,home_ownership:NONE,-0.059890712017634885,0.8520798303391622
9,home_ownership:OTHER,-0.06062572443363399,0.6903139167457777
10,home_ownership:OWN,0.004178394524625345,0.8139463398312823
11,verification_status:Not Verified,0.017808661106228297,0.16821467572784943
12,verification_status:Source Verified,0.05527059636702902,3.7373299408122148e-06
13,purpose:car,0.0574817008316076,0.22791817440327888
14,purpose:debt_consolidation,0.0787776957587101,1.1853932402597506e-09
15,purpose:educational,0.5583816168169828,8.57233303281549e-08
16,purpose:home_improvement,0.17443971021838467,1.1971257750024425e-12
17,purpose:house,0.2417579969373058,0.00010530638316670309
18,purpose:major_purchase,0.24025472817415552,4.050026181501076e-11
19,purpose:medical,0.27379985867127415,1.4868912175443101e-09
20,purpose:moving,0.2109945768848354,3.865777377958967e-05
21,purpose:other,0.2645480265397901,1.801805942781839e-31
22,purpose:renewable_energy,0.6807930441497306,3.7672593693832695e-06
23,purpose:small_business,0.27143515140343966,2.8846901153512933e-19
24,purpose:vacation,0.1527594155685192,0.011633068118394214
25,purpose:wedding,0.6145589192587171,1.244166534929971e-21
26,initial_list_status:w,0.05153318646827582,1.748546026469708e-05
27,term_int,0.017359373639625753,9.494731765171875e-52
28,emp_length_int,-0.009782571907994565,1.4048640480180573e-13
29,mths_since_issue_d,-0.016573298484795072,0.0
30,mths_since_earliest_cr_line,-0.00024532861859129045,7.757589419540755e-05
31,funded_amnt,1.0799075389355406e-05,0.016341940728066166
32,int_rate,-0.047154202567070355,1.620154060034061e-36
33,installment,-0.00043418483145325694,0.001834114160966296
34,annual_inc,2.4483129139080314e-07,0.09438884644783214
35,dti,-0.0008062756242477114,0.25214708177691025
36,delinq_2yrs,0.013498716280582565,0.03639468516393497
37,inq_last_6mths,0.06065978891647273,1.4514959644731355e-51
38,mths_since_last_delinq,-0.0012456587184531687,8.78402285358244e-09
39,mths_since_last_record,-0.00023810947335459559,0.37846109531260685
40,open_acc,-0.014301900931581294,2.032177398677457e-24
41,pub_rec,0.01936109090559383,0.2689306265976513
42,total_acc,0.0029680500071714018,2.4830999708932963e-06
43,acc_now_delinq,0.02301732964674362,0.7683695725047438
44,total_rev_hi_lim,1.9978419381869843e-06,1.5127016095795063e-11
